QSIa momento - alpha=1.000 -neu
-------------------------------------------------------------------------------
Z         | Q         | alpha     | QSI_alpha | integration_error | space   
-------------------------------------------------------------------------------
3.000e+00 | 0.000e+00 | 1.000e+00 | 9.626e-01 | 1.463e-07         | momentum
4.000e+00 | 0.000e+00 | 1.000e+00 | 9.877e-01 | 1.486e-07         | momentum
5.000e+00 | 0.000e+00 | 1.000e+00 | 9.940e-01 | 1.353e-07         | momentum
6.000e+00 | 0.000e+00 | 1.000e+00 | 9.966e-01 | 1.471e-07         | momentum
7.000e+00 | 0.000e+00 | 1.000e+00 | 9.979e-01 | 1.459e-07         | momentum
8.000e+00 | 0.000e+00 | 1.000e+00 | 9.986e-01 | 1.468e-07         | momentum
9.000e+00 | 0.000e+00 | 1.000e+00 | 9.990e-01 | 1.476e-07         | momentum
1.000e+01 | 0.000e+00 | 1.000e+00 | 9.992e-01 | 1.367e-07         | momentum
1.100e+01 | 0.000e+00 | 1.000e+00 | 9.974e-01 | 1.489e-07         | momentum
1.200e+01 | 0.000e+00 | 1.000e+00 | 9.985e-01 | 1.488e-07         | momentum
1.300e+01 | 0.000e+00 | 1.000e+00 | 9.989e-01 | 1.481e-07         | momentum
1.400e+01 | 0.000e+00 | 1.000e+00 | 9.991e-01 | 1.474e-07         | momentum
1.500e+01 | 0.000e+00 | 1.000e+00 | 9.992e-01 | 1.482e-07         | momentum
1.600e+01 | 0.000e+00 | 1.000e+00 | 9.993e-01 | 1.345e-07         | momentum
1.700e+01 | 0.000e+00 | 1.000e+00 | 9.994e-01 | 1.468e-07         | momentum
1.800e+01 | 0.000e+00 | 1.000e+00 | 9.995e-01 | 1.366e-07         | momentum
1.900e+01 | 0.000e+00 | 1.000e+00 | 9.990e-01 | 1.476e-07         | momentum
2.000e+01 | 0.000e+00 | 1.000e+00 | 9.993e-01 | 1.418e-07         | momentum
2.100e+01 | 0.000e+00 | 1.000e+00 | 9.994e-01 | 1.485e-07         | momentum
2.200e+01 | 0.000e+00 | 1.000e+00 | 9.994e-01 | 1.482e-07         | momentum
2.300e+01 | 0.000e+00 | 1.000e+00 | 9.995e-01 | 1.479e-07         | momentum
2.400e+01 | 0.000e+00 | 1.000e+00 | 9.995e-01 | 1.484e-07         | momentum
2.500e+01 | 0.000e+00 | 1.000e+00 | 9.996e-01 | 1.461e-07         | momentum
2.600e+01 | 0.000e+00 | 1.000e+00 | 9.996e-01 | 1.487e-07         | momentum
2.700e+01 | 0.000e+00 | 1.000e+00 | 9.996e-01 | 1.487e-07         | momentum
2.800e+01 | 0.000e+00 | 1.000e+00 | 9.997e-01 | 1.477e-07         | momentum
2.900e+01 | 0.000e+00 | 1.000e+00 | 9.996e-01 | 1.486e-07         | momentum
3.000e+01 | 0.000e+00 | 1.000e+00 | 9.997e-01 | 1.488e-07         | momentum
3.100e+01 | 0.000e+00 | 1.000e+00 | 9.998e-01 | 1.488e-07         | momentum
3.200e+01 | 0.000e+00 | 1.000e+00 | 9.998e-01 | 1.422e-07         | momentum
3.300e+01 | 0.000e+00 | 1.000e+00 | 9.998e-01 | 1.433e-07         | momentum
3.400e+01 | 0.000e+00 | 1.000e+00 | 9.998e-01 | 1.454e-07         | momentum
3.500e+01 | 0.000e+00 | 1.000e+00 | 9.998e-01 | 1.435e-07         | momentum
3.600e+01 | 0.000e+00 | 1.000e+00 | 9.998e-01 | 1.484e-07         | momentum
3.700e+01 | 0.000e+00 | 1.000e+00 | 9.997e-01 | 1.489e-07         | momentum
3.800e+01 | 0.000e+00 | 1.000e+00 | 9.998e-01 | 1.475e-07         | momentum
3.900e+01 | 0.000e+00 | 1.000e+00 | 9.998e-01 | 1.480e-07         | momentum
4.000e+01 | 0.000e+00 | 1.000e+00 | 9.998e-01 | 1.486e-07         | momentum
4.100e+01 | 0.000e+00 | 1.000e+00 | 9.998e-01 | 1.488e-07         | momentum
4.200e+01 | 0.000e+00 | 1.000e+00 | 9.998e-01 | 1.487e-07         | momentum
4.300e+01 | 0.000e+00 | 1.000e+00 | 9.998e-01 | 1.472e-07         | momentum
4.400e+01 | 0.000e+00 | 1.000e+00 | 9.998e-01 | 1.481e-07         | momentum
4.500e+01 | 0.000e+00 | 1.000e+00 | 9.998e-01 | 1.480e-07         | momentum
4.600e+01 | 0.000e+00 | 1.000e+00 | 9.999e-01 | 1.483e-07         | momentum
4.700e+01 | 0.000e+00 | 1.000e+00 | 9.998e-01 | 1.482e-07         | momentum
4.800e+01 | 0.000e+00 | 1.000e+00 | 9.999e-01 | 1.487e-07         | momentum
4.900e+01 | 0.000e+00 | 1.000e+00 | 9.999e-01 | 1.488e-07         | momentum
5.000e+01 | 0.000e+00 | 1.000e+00 | 9.999e-01 | 1.482e-07         | momentum
5.100e+01 | 0.000e+00 | 1.000e+00 | 9.999e-01 | 1.488e-07         | momentum
5.200e+01 | 0.000e+00 | 1.000e+00 | 9.999e-01 | 1.490e-07         | momentum
5.300e+01 | 0.000e+00 | 1.000e+00 | 9.999e-01 | 1.489e-07         | momentum
5.400e+01 | 0.000e+00 | 1.000e+00 | 9.999e-01 | 1.440e-07         | momentum

